Source	Target	lang	xml	role	resp	name	Key	page
Leoni (1855)		it				Phirio		10
Benucci (1874)		it	quote	translator		Un traduttore dell'opera De Natura deorum		11
Fontanella (1806)		it				Ep. l. 7		34
Pescatori (1874)		it				Muller		39
Leoni (1855)		it				Panni		42
Tomeo (1824)		it	quote			Ne' suoi rapidi voli Urania svela…		45
Durante (1853)		it				Pell.		51
Tomeo (1824)		it	quote			Armato di fierezza il rio Terrore...		55
Tomeo (1824)		it	quote			Termine sii tu pietra, o informe tronco		75
Thouar (1861)		it				Nicostrato		96
Tomeo (1824)		it	quote			un poeta (Ella è una Divaa, o piuttosto un mostro di straordinaria grandezza…)		98
Tomeo (1824)		it	quote			Dalle volte del Ciel aureo lucenti…		99
Pescatori (1874)		it	quote			Luna polo, Diana solo, Proserpina Averno…		121
Fontanella (1806)		it				Demarco		141
Benucci (1874)		it				Pisanto		147
Durante (1853)		it				Lachete		150
Fontanella (1806)		it				Demarato		156
Durante (1853)		it	quote			Terret, lustrat, agit, Proserpina, Luna, Diana…		156
Fontanella (1806)		it				Doroth.		176
Durante (1853)		it				Callistrato		184
Fontanella (1806)		it				Doroth. Narrat. Fabul.		186
Tomeo (1824)		it	quote			Stanchi i Principi della Grecia, Enea imprese a dire (plusieurs pages)		186
Durante (1853)		it				Didimo		191
Benucci (1874)		it				Un moderno scrittore		196
Durante (1853)		it	quote			Poichè aggiunta per la folta ei l'ebbe		197
Durante (1853)		it				Nicearco		202
Durante (1853)		it				Eveno		211
Durante (1853)		it				Doroteo		214
Tomeo (1825)		it				Diotime		218
Durante (1853)		it				Menandro		219
Fontanella (1806)		it				Polycharm.		220
Fontanella (1806)		it				Asclepiade		224
Durante (1853)		it				Caton.		236
Durante (1853)		it				Movop		237
Fontanella (1806)		it				Panio		243
Fontanella (1806)		it				Dionys. lib. de sit. orb.		246
Fontanella (1806)		it				Dionys. lib. de sit. orb.		247
Fontanella (1806)		it				Hymn. in Lavacr. Apoll.		248
Fontanella (1806)		it				Androscene di Tebe		250
Fontanella (1806)		it				Polemone		259
Durante (1853)		it				Histoir. de l'Academ. royal. des inscript.		264
Pescatori (1875)		it				Cronologia Greca		306
Pescatori (1875)		it				Cronologia Greca		307
Pescatori (1875)		it				Cronologia Greca		308
Pescatori (1875)		it				Cronologia Greca		324
Pescatori (1875)		it				Brettmann		325
Pescatori (1875)		it				Cronologia Greca		377
Testi (1831)		it	quote			Egli è ben giusto che avendo incominciata la vittoria…		377
Fontanella (1806)		it				Eutidemo Ateniese		384
Durante (1853)		it				Teocosmo		384
Fontanella (1806)		it				Callicrate		388
Fontanella (1806)		it				Callistene		392
Pescatori (1875)		it				Cronologia Greca		394
Pescatori (1875)		it				Cronologia Greca		394
Pescatori (1875)		it				Cronologia Greca		415
Pescatori (1875)		it				Cronologia Greca		415
Tomeo (1824)	Abaris	it				Abari	Abaris	8
Fontanella (1806)	Abati Olivieri Giordani	it				bella Dissertazione dell' Olivieri sull' indicato Monumento nel Tomo III dell' Academia di Cortona	Abati Olivieri Giordani, Annibale degli (1708-1789)	307
Pescatori (1874)	Accademia della Crusca	it				Crusca	Accademia della Crusca (Florence, Italie)	240
Pescatori (1874)	Accademia della Crusca	it				Vocabolario della Crusca	Accademia della Crusca (Florence, Italie)	240
Pescatori (1874)	Accademia della Crusca	it				Crusca	Accademia della Crusca (Florence, Italie)	241
Durante (1853)	Accius	it				Accio	Accius, Lucius (0170-0086 av. J.-C.?)	188
Pescatori (1875)	Accius	it				Lucio Accio	Accius, Lucius (0170-0086 av. J.-C.?)	347
Fontanella (1806)	Achée d'Érétrie	it				Acheo	Achée d'Érétrie (0484-04..? av. J.-C.)	201
Fontanella (1806)	Achée d'Érétrie	it				Acheo	Achée d'Érétrie (0484-04..? av. J.-C.)	224
Thouar (1861)	Adriani	it	quote			Sbeffavano gli Attici un vecchio…	Adriani, Marcello (1562-1604)	319
Thouar (1861)	Adriani	it	quote			Un vecchio avvolontato di vedere i giuochi che si celebravano…	Adriani, Marcello (1562-1604)	319
Fontanella (1806)	Agathosthène	it				Aglaostene	Agathosthène	82
Thouar (1861)	Agésandre de Rhodes	it				Agesandro	Agésandre de Rhodes (00..-00..)	291
Testi (1831)	Agésandre de Rhodes	it				Agesandro di Rodi	Agésandre de Rhodes (00..-00..)	427
Fontanella (1806)	Agoracrite	it				Agoracrito	Agoracrite (04..?-04..? av. J.-C.)	347
Fontanella (1806)	Agoracrite	it				Agoracrito	Agoracrite (04..?-04..? av. J.-C.)	347
Pescatori (1874)	Alamanni	it	quote			Alamanni	Alamanni, Luigi (1495-1556)	173
Durante (1853)	Alamanni	it	quote			Alamanni	Alamanni, Luigi (1495-1556)	269
Fontanella (1806)	Albéric de Londres	it				Albric. De Deor. Imag.	Albéric de Londres (11..-1220?)	15
Fontanella (1806)	Albéric de Londres	it				Albric.	Albéric de Londres (11..-1220?)	107
Fontanella (1806)	Albéric de Londres	it				Albric.	Albéric de Londres (11..-1220?)	107
Durante (1853)	Albéric de Londres	it				Albric.	Albéric de Londres (11..-1220?)	215
Fontanella (1806)	Albéric de Londres	it				Albric.	Albéric de Londres (11..-1220?)	222
Durante (1853)	Albéric de Londres	it				Albrico Filosofo	Albéric de Londres (11..-1220?)	378
Durante (1853)	Albéric de Londres	it				Albrico Filosofo	Albéric de Londres (11..-1220?)	383
Fontanella (1806)	Albéric de Londres	it				Albrico	Albéric de Londres (11..-1220?)	423
Pescatori (1874)	Albert le Grand	it				Alberto Magno	Albert le Grand (saint ; 1200?-1280)	154
Durante (1853)	Alcamène	it				Alcamene	Alcamène (04..-04..? av. J.-C.)	214
Fontanella (1806)	Alcamène	it				Alcamene	Alcamène (04..-04..? av. J.-C.)	347
Fontanella (1806)	Alcamène	it				Alcamene	Alcamène (04..-04..? av. J.-C.)	347
Thouar (1861)	Alcée	it				Alceo	Alcée (0620?-0580? av. J.-C.)	93
Thouar (1861)	Alcée	it				Alceo	Alcée (0620?-0580? av. J.-C.)	242
Thouar (1861)	Alcméon de Crotone	it				Alcmeone	Alcméon de Crotone (0570?-0500? av. J.-C.)	93
Fontanella (1806)	Alessandri	it				Alex. ab lex. l. 6	Alessandri, Alessandro (1461-1523)	44
Fontanella (1806)	Alessandri	it				Alex. ab Alex. l. 2	Alessandri, Alessandro (1461-1523)	138
Fontanella (1806)	Alessandri	it				Alex. ab Alex.	Alessandri, Alessandro (1461-1523)	189
Fontanella (1806)	Alessandri	it				Alex. ab Alex.	Alessandri, Alessandro (1461-1523)	229
Leoni (1855)	Alexis	it	quote			Alesside	Alexis (0375?-275? av. J.-C.)	43
Thouar (1861)	Alfieri	it				Alfieri	Alfieri, Vittorio (1749-1803)	2
Benucci (1874)	Alfieri	it				Alfieri	Alfieri, Vittorio (1749-1803)	19
Benucci (1874)	Alfieri	it				Alfieri	Alfieri, Vittorio (1749-1803)	19
Benucci (1874)	Alfieri	it	quote			Alfieri	Alfieri, Vittorio (1749-1803)	38
Benucci (1874)	Alfieri	it				Alfieri	Alfieri, Vittorio (1749-1803)	43
Pescatori (1874)	Alfieri	it				Alfieri	Alfieri, Vittorio (1749-1803)	60
Pescatori (1874)	Alfieri	it				Alfieri	Alfieri, Vittorio (1749-1803)	60
Pescatori (1874)	Alfieri	it	quote			O grand padre Alighier…	Alfieri, Vittorio (1749-1803)	60
Benucci (1874)	Alfieri	it	quote			Alfieri	Alfieri, Vittorio (1749-1803)	86
Benucci (1874)	Alfieri	it	quote			Alfieri	Alfieri, Vittorio (1749-1803)	122
Benucci (1874)	Alfieri	it	quote			Alfieri	Alfieri, Vittorio (1749-1803)	123
Benucci (1874)	Alfieri	it	quote			Alfieri	Alfieri, Vittorio (1749-1803)	127
Benucci (1874)	Alfieri	it	quote			Alfieri	Alfieri, Vittorio (1749-1803)	127
Benucci (1874)	Alfieri	it	quote			Alfieri	Alfieri, Vittorio (1749-1803)	127
Benucci (1874)	Alfieri	it	quote			Alfieri	Alfieri, Vittorio (1749-1803)	131
Thouar (1861)	Alfieri	it	quote			 Unico esempio Di coniugale amor, felici e degni…	Alfieri, Vittorio (1749-1803)	216
Thouar (1861)	Alfieri	it	quote			Alfieri	Alfieri, Vittorio (1749-1803)	216
Benucci (1874)	Alfieri	it	quote			Alfieri	Alfieri, Vittorio (1749-1803)	221
Benucci (1874)	Alfieri	it	quote			Alfieri	Alfieri, Vittorio (1749-1803)	222
Pescatori (1875)	Alfieri	it				Alfieri	Alfieri, Vittorio (1749-1803)	348
Pescatori (1875)	Alfieri	it				Alfieri	Alfieri, Vittorio (1749-1803)	391
Pescatori (1875)	Alfieri	it				Alfieri	Alfieri, Vittorio (1749-1803)	398
Pescatori (1875)	Alfieri	it				Alfieri	Alfieri, Vittorio (1749-1803)	404
Pescatori (1875)	Alfieri	it				Alfieri	Alfieri, Vittorio (1749-1803)	448
Pescatori (1875)	Alfieri	it				Alfieri	Alfieri, Vittorio (1749-1803)	449
Benucci (1874)	Ambroise	it				S. Ambrogio	Ambroise (saint ; 0340?-0397)	184
Benucci (1874)	Ammien Marcellin	it				Ammiano Marcellino	Ammien Marcellin (0330?-0395?)	47
Durante (1853)	Ampelius	it				Ampelio	Ampelius (02..?-02..?)	165
Durante (1853)	Anacréon	it				Anacreonte	Anacréon (0560-0478 av. J.-C.)	206
Fontanella (1806)	Andriscus	it				Andrisc.	Andriscus	144
Thouar (1861)	Anguillara	it				Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	2
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	14
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	17
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	21
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	22
Thouar (1861)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	22
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	23
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	25
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	26
Thouar (1861)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	26
Thouar (1861)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	27
Thouar (1861)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	27
Thouar (1861)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	28
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	34
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	36
Thouar (1861)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	38
Thouar (1861)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	39
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	41
Benucci (1874)	Anguillara	it				Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	42
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	44
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	44
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	48
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	52
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	56
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	56
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	57
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	58
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	60
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	60
Benucci (1874)	Anguillara	it				Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	61
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	66
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	67
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	73
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	75
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	77
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	78
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	78
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	78
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	79
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	81
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	83
Benucci (1874)	Anguillara	it				Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	90
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	96
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	97
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	102
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	104
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	113
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	125
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	129
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	138
Durante (1853)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	142
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	151
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	160
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	160
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	173
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	177
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	186
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	187
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	187
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	187
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	187
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	188
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	191
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	193
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	199
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	204
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	205
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	205
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	242
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	267
Benucci (1874)	Anguillara	it	quote	translator		Anguillara	Anguillara, Giovanni Andrea dell' (1517-1572)	289
Durante (1853)	Anthologie grecque	it	quote			Antologia (L'asta e lo scudo è tuo, mal il pomo è mio)	Anthologie grecque	75
Durante (1853)	Anthologie grecque	it				Anthol. Graec. T. II, p. 396	Anthologie grecque	86
Durante (1853)	Anthologie grecque	it	quote			Antologia greca (IV, 4, 12)	Anthologie grecque	211
Durante (1853)	Anthologie grecque	it				Antologia greca	Anthologie grecque	212
Fontanella (1806)	Anthologie grecque	it				Un antico Poeta (Anthol. 4)	Anthologie grecque	403
Durante (1853)	Anthologie latine	it				Anthol. Lat. T. I, p. 460, ep. 7	Anthologie latine	112
Pescatori (1874)	Antipater de Tarse	it				Antipatro	Antipater de Tarse (01..-01.. av. J.-C.)	235
Pescatori (1874)	Antipater de Tarse	it				Antipatro	Antipater de Tarse (01..-01.. av. J.-C.)	235
Fontanella (1806)	Antiphane	it				Antifane d'Argo	Antiphane (408?-334? av. J.-C.)	250
Benucci (1874)	Antisthène	it				Antistene	Antisthène (0445?-0360? av. J.-C.)	38
Fontanella (1806)	Antoninus Liberalis	it				Antonio Liberale	Antoninus Liberalis (01..?-01..?)	45
Fontanella (1806)	Antoninus Liberalis	it				Anton. Liberal.	Antoninus Liberalis (01..?-01..?)	108
Fontanella (1806)	Antoninus Liberalis	it				Anton. Liberal.	Antoninus Liberalis (01..?-01..?)	139
Fontanella (1806)	Antoninus Liberalis	it				Antonino Liberale	Antoninus Liberalis (01..?-01..?)	196
Fontanella (1806)	Antoninus Liberalis	it				Antonin. Liberal.	Antoninus Liberalis (01..?-01..?)	278
Fontanella (1806)	Antoninus Liberalis	it				Antonin. Liber.	Antoninus Liberalis (01..?-01..?)	326
Fontanella (1806)	Antoninus Liberalis	it				Anton. Liber.	Antoninus Liberalis (01..?-01..?)	328
Fontanella (1806)	Antoninus Liberalis	it				Antonino Liberale	Antoninus Liberalis (01..?-01..?)	336
Thouar (1861)	Apelle	it				Apelle	Apelle (03..-03.. av. J.-C.)	193
Thouar (1861)	Apelle	it				Apelle	Apelle (03..-03.. av. J.-C.)	194
Durante (1853)	Apelle	it				Apelle	Apelle (03..-03.. av. J.-C.)	213
Durante (1853)	Apelle	it				Apelle	Apelle (03..-03.. av. J.-C.)	214
Fontanella (1806)	Apollodore	it				Apollod.	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	13
Fontanella (1806)	Apollodore	it				Apollod.	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	17
Durante (1853)	Apollodore	it				Apollod.	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	38
Durante (1853)	Apollodore	it				Apollod.	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	40
Fontanella (1806)	Apollodore	it				Apollod.	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	41
Durante (1853)	Apollodore	it				Apollodoro	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	41
Fontanella (1806)	Apollodore	it				Apollod.	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	45
Fontanella (1806)	Apollodore	it				Apollodoro	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	45
Durante (1853)	Apollodore	it				Apollodoro	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	53
Fontanella (1806)	Apollodore	it				Apollod.	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	55
Fontanella (1806)	Apollodore	it				Apollodoro	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	72
Fontanella (1806)	Apollodore	it				Apollodoro	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	81
Fontanella (1806)	Apollodore	it				Apollodor.	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	84
Durante (1853)	Apollodore	it				Apollodoro	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	94
Durante (1853)	Apollodore	it				Apollod.	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	104
Fontanella (1806)	Apollodore	it				Apollodoro	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	124
Fontanella (1806)	Apollodore	it				Apollod.	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	132
Fontanella (1806)	Apollodore	it				Apollod.	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	142
Benucci (1874)	Apollodore	it				Apollodoro	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	145
Benucci (1874)	Apollodore	it				Apollodoro	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	146
Benucci (1874)	Apollodore	it				Apollodoro	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	148
Benucci (1874)	Apollodore	it				Apollodoro	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	149
Benucci (1874)	Apollodore	it				Apollodoro	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	149
Benucci (1874)	Apollodore	it				Apollodoro	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	149
Benucci (1874)	Apollodore	it				Apollodoro	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	150
Fontanella (1806)	Apollodore	it				Apollodoro	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	160
Fontanella (1806)	Apollodore	it				Apollodoro	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	174
Fontanella (1806)	Apollodore	it				Apollod.	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	180
Fontanella (1806)	Apollodore	it				Apollodoro	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	181
Fontanella (1806)	Apollodore	it				Apollod.	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	196
Fontanella (1806)	Apollodore	it				Apollod.	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	196
Benucci (1874)	Apollodore	it				Apollodoro	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	201
Fontanella (1806)	Apollodore	it				Apollodoro	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	201
Fontanella (1806)	Apollodore	it				Apollod.	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	205
Fontanella (1806)	Apollodore	it				Apollod.	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	205
Fontanella (1806)	Apollodore	it				Apollod.	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	216
Benucci (1874)	Apollodore	it				Apollodoro	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	218
Durante (1853)	Apollodore	it				Apollod.	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	221
Durante (1853)	Apollodore	it				Apollod.	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	223
Fontanella (1806)	Apollodore	it				Apollod.	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	227
Fontanella (1806)	Apollodore	it				Apollodoro Ateniese	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	227
Fontanella (1806)	Apollodore	it				Apollodoro	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	232
Benucci (1874)	Apollodore	it				Apollodoro	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	236
Durante (1853)	Apollodore	it				Apollod.	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	239
Fontanella (1806)	Apollodore	it				Apollod.	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	244
Benucci (1874)	Apollodore	it				Apollodoro	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	246
Durante (1853)	Apollodore	it				Apollod.	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	247
Fontanella (1806)	Apollodore	it				Apollod.	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	248
Durante (1853)	Apollodore	it				Apollod.	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	256
Durante (1853)	Apollodore	it				Apollod.	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	256
Durante (1853)	Apollodore	it				Apollodoro	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	263
Durante (1853)	Apollodore	it				Apollod.	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	266
Durante (1853)	Apollodore	it				Apollodoro	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	267
Fontanella (1806)	Apollodore	it				Apollodoro	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	269
Fontanella (1806)	Apollodore	it				Apollodoro	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	269
Fontanella (1806)	Apollodore	it				Apollodoro	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	270
Fontanella (1806)	Apollodore	it				Apollodoro	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	270
Benucci (1874)	Apollodore	it				Apollodoro	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	278
Fontanella (1806)	Apollodore	it				Apollod.	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	291
Fontanella (1806)	Apollodore	it				Apollodoro	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	291
Durante (1853)	Apollodore	it				Apollodoro	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	299
Fontanella (1806)	Apollodore	it				Apollodoro	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	299
Fontanella (1806)	Apollodore	it				Apollodoro	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	299
Fontanella (1806)	Apollodore	it				Apollod.	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	304
Pescatori (1875)	Apollodore	it				Apollodoro	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	310
Durante (1853)	Apollodore	it				Apollod.	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	315
Durante (1853)	Apollodore	it				Apollodoro	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	316
Durante (1853)	Apollodore	it				Apollodoro	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	319
Fontanella (1806)	Apollodore	it				Apollod.	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	326
Fontanella (1806)	Apollodore	it				Apollod.	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	327
Fontanella (1806)	Apollodore	it				Apollodoro	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	327
Durante (1853)	Apollodore	it				Apollodoro	Apollodore d'Athènes (auteur prétendu ; 01..?-02..?)	340
